tag,entrydate,playername,trophies,clanrole,clanrank,donations,donationsreceived,_id
#PYP8VCRG,11/25/2018,Goofyjay2,5028,elder,1,1404,720,2018-11-25#PYP8VCRG
#9LQCCVLY,11/25/2018,Studmuffin,4837,elder,2,784,640,2018-11-25#9LQCCVLY
#2CCL092UY,11/25/2018,TitoKilo,4766,elder,3,357,720,2018-11-25#2CCL092UY
#80CYLGVL,11/25/2018,Jurgen,4701,elder,4,494,560,2018-11-25#80CYLGVL
#UVCGVVQC,11/25/2018,ARYA,4646,elder,5,550,760,2018-11-25#UVCGVVQC
#C0G2JQ2P,11/25/2018,Jazz,4631,elder,6,192,280,2018-11-25#C0G2JQ2P
#92G8UPJU,11/25/2018,luc,4608,elder,7,415,680,2018-11-25#92G8UPJU
#8QCRQ8RR,11/25/2018,WEL3A,4525,elder,8,648,600,2018-11-25#8QCRQ8RR
#RGLVUQJC,11/25/2018,Nico,4519,elder,9,261,240,2018-11-25#RGLVUQJC
#YQ820CJ2,11/25/2018,JimmyJoe,4492,elder,10,750,520,2018-11-25#YQ820CJ2
#9QL0QGLR,11/25/2018,WM,4477,elder,11,428,600,2018-11-25#9QL0QGLR
#9VUJVGVU,11/25/2018,El Bar,4468,elder,12,828,640,2018-11-25#9VUJVGVU
#2YGQQ0V2C,11/25/2018,Judah,4464,elder,13,906,680,2018-11-25#2YGQQ0V2C
#U9UL9U9U,11/25/2018,Mephobos,4457,coLeader,14,1369,760,2018-11-25#U9UL9U9U
#88PU8282,11/25/2018,Dragon King,4436,member,15,18,120,2018-11-25#88PU8282
#8LVVQRQC,11/25/2018,Sorin Markov,4426,member,16,248,440,2018-11-25#8LVVQRQC
#V2UCRJ0R,11/25/2018,CAttack,4408,elder,17,64,160,2018-11-25#V2UCRJ0R
#80UUG9R2U,11/25/2018,Meliaesc,4401,coLeader,18,838,600,2018-11-25#80UUG9R2U
#8CJP88JLJ,11/25/2018,RAUPP,4396,elder,19,564,560,2018-11-25#8CJP88JLJ
#U922UR8,11/25/2018,ZombifiedOnyx,4362,elder,20,314,460,2018-11-25#U922UR8
#VPVLQJ2V,11/25/2018,Edu,4357,elder,21,794,520,2018-11-25#VPVLQJ2V
#2PUYVLVCU,11/25/2018,SukonDeezNUTZ,4340,member,22,154,320,2018-11-25#2PUYVLVCU
#8VJUR0R9Q,11/25/2018,Foxfox105,4335,elder,23,1381,680,2018-11-25#8VJUR0R9Q
#82J0YJ82Q,11/25/2018,Niekotine Frost,4314,elder,24,206,360,2018-11-25#82J0YJ82Q
#LLL9UJ8,11/25/2018,Felipe,4298,member,25,818,710,2018-11-25#LLL9UJ8
#2LYG9C9R2,11/25/2018,TheThriller,4235,elder,26,587,400,2018-11-25#2LYG9C9R2
#9JCJLGQL,11/25/2018,Pat3002,4233,elder,27,152,520,2018-11-25#9JCJLGQL
#PULVR2,11/25/2018,awesome,4226,member,28,122,640,2018-11-25#PULVR2
#29UGCU0LY,11/25/2018,lDrago45,4205,elder,29,116,240,2018-11-25#29UGCU0LY
#PP2P898R,11/25/2018,Piggy123,4191,elder,30,462,530,2018-11-25#PP2P898R
#88CGCQ8L,11/25/2018,Viking6514,4191,elder,31,1400,600,2018-11-25#88CGCQ8L
#2200VCJ9,11/25/2018,Czarofzar,4180,member,32,403,600,2018-11-25#2200VCJ9
#28GVQ0G98,11/25/2018,Ryan,4172,elder,33,197,480,2018-11-25#28GVQ0G98
#8LVQ9RJYJ,11/25/2018,MD Hosny,4165,member,34,790,640,2018-11-25#8LVQ9RJYJ
#28PVUV89J,11/25/2018,esteban,4158,member,35,230,480,2018-11-25#28PVUV89J
#QPUL2V29,11/25/2018,Soupcan43,4154,member,36,184,240,2018-11-25#QPUL2V29
#2CL9PUY8,11/25/2018,Caden#21,4148,elder,37,362,520,2018-11-25#2CL9PUY8
#LCRQURRR,11/25/2018,B3ASTB0Y,4128,member,38,164,640,2018-11-25#LCRQURRR
#8LV909VR,11/25/2018,David_McG_IVB**,4125,elder,39,781,600,2018-11-25#8LV909VR
#22PUP0C,11/25/2018,Kyle,4120,elder,40,455,480,2018-11-25#22PUP0C
#2J920Q0LV,11/25/2018,sam23363,4105,member,41,578,600,2018-11-25#2J920Q0LV
#8YQC89PV,11/25/2018,Z Titan,4095,member,42,170,320,2018-11-25#8YQC89PV
#8828PPJP,11/25/2018,Reaper,4059,member,43,0,0,2018-11-25#8828PPJP
#9GVPG08G,11/25/2018,ZombifiedTitan,4048,elder,44,402,600,2018-11-25#9GVPG08G
#922L29UCL,11/25/2018,mikal016,4026,member,45,349,640,2018-11-25#922L29UCL
#2J0QJG0UV,11/25/2018,so alex,4019,elder,46,150,160,2018-11-25#2J0QJG0UV
#YCPJJ8G,11/25/2018,lauren,4008,leader,47,405,400,2018-11-25#YCPJJ8G
#UVP29QJ,11/25/2018,Tavlinos,4001,elder,48,0,0,2018-11-25#UVP29QJ
#R0UYUCCU,11/25/2018,WhiteCloud,4000,member,49,670,400,2018-11-25#R0UYUCCU
#2PLRQUUQQ,11/25/2018,Anubhav,3995,elder,50,518,360,2018-11-25#2PLRQUUQQ
